item,value,source
rustc error occurrences logged,8678,Yes static analysis helps
direct cargo check runs with captured outcome,4478,Yes static analysis helps
cargo check runs clean,87.1%,Yes static analysis helps
known regressions by 2026-09-14,dozens; all fixed; none involved an unsafe block,The regressions / How much unsafe
public issue quality share copilot-cli Jan to Apr,22.9% (454 of 1982),The regressions
public issue quality share copilot-cli May to Aug,23.7% (354 of 1496),The regressions
public issue quality share copilot-sdk Jan to Apr,36.2% (190 of 525),The regressions
public issue quality share copilot-sdk May to Aug,32.3% (135 of 418),The regressions
human-authored messages,about 2600 (of 31247 user-role messages),What the session data shows
token spend,about 136.3B tokens; 130.6B cached read; 4.2B cached write; 0.9B fresh input; 0.6B output,What the port cost
prompt-cache hit rate,96.22% (writes 3.07%; fresh 0.71%),It's all about caching
monetary bill,about USD 120000,What the port cost
developer time on the port,about three weeks (port PRs were about 20% of his PRs in the window),What the port cost
no-agent estimate (author),a whole team of developers a year or two,What's next
no-agent estimate (article's own arithmetic; not from the post),5 engineers x 1.5 years x USD 350000 fully loaded = about USD 2.6M; roughly 5x calendar time and 20x money,article
incoming pull requests on main,hundreds per week from tens of developers,What it looked like before
TypeScript churn during the port,about 300000 production lines in; about 430000 out,What it looked like before
exploration vs mutation tool calls,about 10x,Agents like reading
tool calls from subagents,1130921 (61%),What the session data shows
compactions,5116,It's all about caching
