item,value,source
products,43,Section 3
customer reviews total,540,Section 3
paired runs,86 (43 pairs),Section 3
agent roles,"Researcher, Analyst, Writer, Critic, Manager",Section 2
send-back cap per run,2,Section 2
flat manager authority,"may add non-binding commentary only",Section 2
hierarchical manager authority,"issues a loop-back directive naming what must be fixed, injected into the worker's context",Section 2
send-back distribution across 43 hierarchical runs,"11 zero, 12 one, 17 two, 3 requested a third and were capped",Section 4.5
hedges per 1000 words hierarchical,5.03,Section 4.4
hedges per 1000 words flat,3.30,Section 4.4
hedge gap,"+53%, dz 0.61, p < 0.001",Section 4.4
hedge lexicon examples,"possible, may, suggests, could",Section 4.4
clarity change per send-back (OLS),"-0.142, p < 0.001, R2 0.41",Section 4.5
loop count vs clarity,"Spearman rho -0.40, p 0.008",Section 4.5
first draft vs flat report hedging,"dz 0.11, p 0.46",Section 4.5
first draft vs flat report lexical diversity,p 0.98,Section 4.5
first draft vs flat report length,p 0.20,Section 4.5
judge panel,5 models on a 1 to 5 scale,Section 3
writing clarity composite,"Structure, Coherence, Conciseness",Section 3
utility composite,"Actionability, Root Cause Analysis, Strategic Depth",Section 3
models,"GPT-5.4, Gemini-3.1-Pro, Qwen-3.5-122B, GLM-5, Mistral-Large-3",Section 3
design rule,"a supervisory tier earns its cost when the supervisor can verify something and becomes a liability when it can only opine",Section 5
verifier flags named,"a failed verify_claim, a missing section",Section 5
stated limits,"one short-context synthesis task, one product domain, one generation of five models, one Manager prompt, 43 pairs; loop-count analysis correlational",Section 5
