item,value,section
Jev launch date,2026-09-15 (TypeSafe blog post),opening
Hamel's evals FAQ response,3 days after launch (2026-09-18),opening
example Jev answer to a trace question,0.93,opening
input token cost,USD 0.042 per million tokens; output free (no output tokens to count),how Jev works
Archer Hume's probing volume,over 10000 API requests,how Jev works
Jev latency at 1 question,86 ms (86.5 ms precise),how Jev works
Jev latency at 1500 questions in one request,610 ms,how Jev works
LLM judge JSON example score,"0.87 (a string the model wrote, not a computed probability)",how Jev works
human-labeled trace set size for the comparison,50 pass and 50 fail,grading against your labels
calibration example,a score of 0.3 should be right about three times in ten,calibration
invoice processing task accuracy,Jev 61.8% vs TypeSafe's Sol workflow 79.1%,limits
