number,what,section,source
11 million,biosamples behind the database,A book nobody can finish,Methods
about 200000,RT groups recognized,By the brief the agent rejected the right candidate,Fig. 1B
8 in 10,RT clusters placed in no known class ((25737 + 137385) / 198290 = 82%),By the brief the agent rejected the right candidate,Methods (RT census)
about 11000,RT loci sampled (10983 loci from 7308 anchors),By the brief the agent rejected the right candidate,Methods (Sampling of RT neighborhoods)
10000,letters of flank on each side of each sampled RT,By the brief the agent rejected the right candidate,Methods (10 kb)
46,families passing all three filters,By the brief the agent rejected the right candidate,Methods (Scoring of partner families)
13,of those 46 that were controls designated beforehand (including Avd; Cas1; Cas2),By the brief the agent rejected the right candidate,Methods
16 + 1,families promoted after annotation review plus one via follow-up,By the brief the agent rejected the right candidate,Methods
119,tasks in the campaign,By the brief the agent rejected the right candidate,Methods (Campaign accounting)
49,tasks revised at least once,By the brief the agent rejected the right candidate,Methods
58,maximum concurrent sessions,By the brief the agent rejected the right candidate,Methods
21.5,hours of wall-clock time,By the brief the agent rejected the right candidate,Results
98,tasks opened by agents as follow-ups,The surprise came from outside the brief,Results; Fig. 1A
2900,nt read by the worker,The surprise came from outside the brief,Results; Methods (Transcript analysis)
16 / 14 / 100 to 200,repeat length / copies / spacer length in nt,The surprise came from outside the brief,Results; Fig. 1F
3rd,tournament rank of the ART report,Did it really see it,Methods (Ranking of reports)
10,replicate campaigns,Ten reruns,Results; Methods
96,ART loci in the fixed-input benchmark,Turning luck into a test,Methods (Fixed-input benchmark)
7 x 5 x 100 = 3500,models x levels x attempts,Turning luck into a test,Methods
10,binary rubric claims,Turning luck into a test,Methods (Benchmark grading)
949 / 19,sessions and reports in the preprint (the blog says 950 agents and 20 reports),What these checks do not show,Methods; Anthropic blog
